Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
491,492,2,Native forest,Callitris,20,2,2,1,Vic,Aus_For18
492,493,1,Native forest,Callitris,19,2,1,1,Vic,NVIS 6.0
493,494,768,Native forest,Melaleuca,64,1,1,1,Vic,Aus_For18
494,495,7380,Native forest,Other native forest,77,2,2,1,Vic,Aus_For18
495,496,598,Native forest,Eucalypt Mallee Woodland,39,1,5,1,Vic,NVIS 6.0
496,497,436066,Native forest,Eucalypt Tall Open,45,2,3,1,Vic,Aus_For18
497,498,1,Native forest,Eucalypt Mallee Open,38,2,2,1,Vic,NVIS 6.0
498,499,16888,Native forest,Callitris,16,1,1,1,Vic,Aus_For18
499,500,951,Native forest,Callitris,16,1,1,1,Vic,NVIS 6.0
500,501,9653,Native forest,Acacia,2,1,2,1,Vic,Aus_For18
501,502,6148,Native forest,Melaleuca,65,2,1,1,Vic,Aus_For18
502,503,11,Other forest,Other forest - unallocated type,83,1,3,1,Vic,NVIS 6.0
503,504,1710,Native forest,Acacia,2,1,2,1,Vic,NVIS 6.0
504,505,17,Native forest,Other native forest,84,3,1,1,Vic,NVIS 6.0
505,506,169,Native forest,Acacia,12,5,5,1,Vic,NVIS 6.0
506,507,3,Native forest,Melaleuca,67,1,2,1,Vic,NVIS 6.0
507,508,512,Native forest,Acacia,5,2,2,1,Vic,NVIS 6.0
508,509,28,Other forest,Other forest - unallocated type,89,3,2,1,Vic,NVIS 6.0
509,510,12274,Native forest,Acacia,5,2,2,1,Vic,Aus_For18
510,511,5016,Native forest,Rainforest,99,2,3,1,Vic,Aus_For18
511,512,18351,Native forest,Rainforest,99,2,3,1,Vic,NVIS 6.0
512,513,2343,Native forest,Rainforest,95,2,1,1,Vic,Aus_For18
513,514,874,Native forest,Rainforest,95,2,1,1,Vic,NVIS 6.0
514,515,2285,Native forest,Rainforest,97,2,2,1,Vic,NVIS 6.0
515,516,6587,Native forest,Rainforest,97,2,2,1,Vic,Aus_For18
516,517,3,Other forest,Other forest - unallocated type,89,3,3,1,Vic,NVIS 6.0
517,518,8,Native forest,Eucalypt Low Closed,46,3,1,1,NSW,Aus_For18
518,519,1,Native forest,Rainforest,33,1,3,1,Vic,NVIS 6.0
519,520,1305,Native forest,Melaleuca,68,2,2,1,Vic,NVIS 6.0
520,521,7094,Native forest,Melaleuca,68,2,2,1,Vic,Aus_For18
521,522,119,Native forest,Rainforest,98,3,2,1,Vic,NVIS 6.0
522,523,509,Native forest,Rainforest,94,1,2,1,Vic,NVIS 6.0
523,524,248,Native forest,Casuarina,25,1,1,1,Vic,Aus_For18
524,525,288,Native forest,Casuarina,25,1,1,1,Vic,NVIS 6.0
525,526,80,Native forest,Mangrove,62,2,2,1,Vic,Aus_For18
526,527,1068,Native forest,Mangrove,15,5,5,1,Vic,Global Mangroves
527,528,880,Native forest,Mangrove,60,3,1,1,Vic,Global Mangroves
528,529,58,Native forest,Mangrove,58,1,1,1,Vic,NVIS 6.0
529,530,733,Native forest,Mangrove,60,3,1,1,Vic,Aus_For18
530,531,18,Native forest,Mangrove,61,1,2,1,Vic,NVIS 6.0
531,532,3,Native forest,Mangrove,63,3,2,1,Vic,Aus_For18
532,533,5,Native forest,Mangrove,59,2,1,1,Vic,NVIS 6.0
533,534,95,Native forest,Melaleuca,66,3,1,1,Vic,NVIS 6.0
534,535,16,Native forest,Melaleuca,66,3,1,1,Vic,Aus_For18
535,536,11,Native forest,Mangrove,60,3,1,1,Vic,NVIS 6.0
536,537,6,Native forest,Mangrove,15,5,5,1,Vic,NVIS 6.0
537,538,1,Native forest,Melaleuca,72,3,3,1,Vic,NVIS 6.0
538,539,3,Native forest,Mangrove,62,2,2,1,Vic,NVIS 6.0
539,540,3121208,Non-forest,Non-forest,0,6,6,0,Tas, 
